Year,Number_of_incidents,Wounded,Killed
2014,273,1086,275
2015,336,1337,369
2016,383,1539,453
2017,348,1807,441
2018,336,1330,372
2019,417,1712,465
2020,610,2540,513
2021,690,2829,704
2022,606,2541,633
