Year,Number_of_incidents,Wounded,Killed
2013,339,1176,467
2014,325,1213,364
2015,371,1387,469
2016,477,1781,606
2017,427,1981,590
2018,426,1549,528
2019,503,1901,629
2020,696,2750,661
2021,818,3141,920
2022,710,2822,814
